Designator,Mid X,Mid Y,Rotation,Layer
D1,78.69125,-85.278396,90.0,bottom
D10,264.42875,-85.278396,90.0,bottom
D11,283.47875,-85.278396,90.0,bottom
D12,302.52875,-85.278396,90.0,bottom
D13,321.57875,-85.278396,90.0,bottom
D14,345.39125,-85.278396,90.0,bottom
D15,353.91725,-85.342396,90.0,bottom
D16,78.69125,-109.090896,90.0,bottom
D17,97.74125,-109.090896,90.0,bottom
D18,116.79125,-109.090896,90.0,bottom
D19,135.84125,-109.090896,90.0,bottom
D2,102.50375,-85.278396,90.0,bottom
D20,154.89125,-109.090896,90.0,bottom
D21,173.94125,-109.090896,90.0,bottom
D22,192.99125,-109.090896,90.0,bottom
D23,212.04125,-109.090896,90.0,bottom
D24,231.09125,-109.090896,90.0,bottom
D25,250.14125,-109.090896,90.0,bottom
D26,269.19125,-109.090896,90.0,bottom
D27,288.24125,-109.090896,90.0,bottom
D28,307.29125,-109.090896,90.0,bottom
D29,344.26525,-109.090896,90.0,bottom
D3,121.55375,-85.278396,90.0,bottom
D30,373.96625,-109.090896,90.0,bottom
D31,83.45375,-128.140896,90.0,bottom
D32,107.26625,-128.140896,90.0,bottom
D33,126.31625,-128.140896,90.0,bottom
D34,145.36625,-128.140896,90.0,bottom
D35,164.41625,-128.140896,90.0,bottom
D36,183.46625,-128.140896,90.0,bottom
D37,202.51625,-128.140896,90.0,bottom
D38,221.56625,-128.140896,90.0,bottom
D39,240.61625,-128.140896,90.0,bottom
D4,140.60375,-85.278396,90.0,bottom
D40,259.66625,-128.140896,90.0,bottom
D41,278.71625,-128.140896,90.0,bottom
D42,297.76625,-128.140896,90.0,bottom
D43,316.81625,-128.140896,90.0,bottom
D44,340.62875,-128.140896,90.0,bottom
D45,373.96625,-128.140896,90.0,bottom
D46,85.835,-147.190896,90.0,bottom
D47,112.02875,-147.190896,90.0,bottom
D48,131.07875,-147.190896,90.0,bottom
D49,150.12875,-147.190896,90.0,bottom
D5,159.65375,-85.278396,90.0,bottom
D50,169.17875,-147.190896,90.0,bottom
D51,188.22875,-147.190896,90.0,bottom
D52,207.27875,-147.190896,90.0,bottom
D53,226.32875,-147.190896,90.0,bottom
D54,245.37875,-147.190896,90.0,bottom
D55,264.42875,-147.190896,90.0,bottom
D56,283.47875,-147.190896,90.0,bottom
D57,302.52875,-147.190896,90.0,bottom
D58,341.72525,-147.190896,90.0,bottom
D59,373.96625,-147.190896,90.0,bottom
D6,183.46625,-85.278396,90.0,bottom
D60,98.90125,-166.240896,90.0,bottom
D61,121.55375,-166.240896,90.0,bottom
D62,140.60375,-166.240896,90.0,bottom
D63,159.65375,-166.240896,90.0,bottom
D64,178.70375,-166.240896,90.0,bottom
D65,197.75375,-166.240896,90.0,bottom
D66,216.80375,-166.240896,90.0,bottom
D67,235.85375,-166.240896,90.0,bottom
D68,254.90375,-166.240896,90.0,bottom
D69,273.95375,-166.240896,90.0,bottom
D7,202.51625,-85.278396,90.0,bottom
D70,293.00375,-166.240896,90.0,bottom
D71,319.1975,-166.240896,90.0,bottom
D72,350.15375,-171.003396,90.0,bottom
D73,374.01625,-166.460896,90.0,bottom
D74,81.0725,-185.290896,90.0,bottom
D75,104.885,-185.290896,90.0,bottom
D76,128.6975,-185.290896,90.0,bottom
D77,200.135,-185.290896,90.0,bottom
D78,269.19125,-185.290896,90.0,bottom
D79,288.24125,-185.290896,90.0,bottom
D8,221.56625,-85.278396,90.0,bottom
D80,307.29125,-185.290896,90.0,bottom
D81,331.10375,-190.053396,90.0,bottom
D82,350.15375,-190.053396,90.0,bottom
D83,369.20375,-190.053396,90.0,bottom
D9,240.61625,-85.278396,90.0,bottom
J1,61.94425,-131.951396,0.0,bottom
J2,61.93625,-120.043396,0.0,bottom
SW1,69.69125,-85.088396,0.0,top
SW10,255.42875,-85.088396,0.0,top
SW11,274.47875,-85.088396,0.0,top
SW12,293.52875,-85.088396,0.0,top
SW13,312.57875,-85.088396,0.0,top
SW14,336.39125,-85.088396,0.0,top
SW15,365.21625,-85.088396,180.0,top
SW16,69.69125,-108.900896,0.0,top
SW17,88.74125,-108.900896,0.0,top
SW18,107.79125,-108.900896,0.0,top
SW19,126.84125,-108.900896,0.0,top
SW2,93.50375,-85.088396,0.0,top
SW20,145.89125,-108.900896,0.0,top
SW21,164.94125,-108.900896,0.0,top
SW22,183.99125,-108.900896,0.0,top
SW23,203.04125,-108.900896,0.0,top
SW24,222.09125,-108.900896,0.0,top
SW25,241.14125,-108.900896,0.0,top
SW26,260.19125,-108.900896,0.0,top
SW27,279.24125,-108.900896,0.0,top
SW28,298.29125,-108.900896,0.0,top
SW29,326.86625,-108.900896,0.0,top
SW3,112.55375,-85.088396,0.0,top
SW30,364.96625,-108.900896,0.0,top
SW31,74.45375,-127.950896,0.0,top
SW32,98.26625,-127.950896,0.0,top
SW33,117.31625,-127.950896,0.0,top
SW34,136.36625,-127.950896,0.0,top
SW35,155.41625,-127.950896,0.0,top
SW36,174.46625,-127.950896,0.0,top
SW37,193.51625,-127.950896,0.0,top
SW38,212.56625,-127.950896,0.0,top
SW39,231.61625,-127.950896,0.0,top
SW4,131.60375,-85.088396,0.0,top
SW40,250.66625,-127.950896,0.0,top
SW41,269.71625,-127.950896,0.0,top
SW42,288.76625,-127.950896,0.0,top
SW43,307.81625,-127.950896,0.0,top
SW44,331.62875,-127.950896,0.0,top
SW45,364.96625,-127.950896,0.0,top
SW46,76.835,-147.000896,0.0,top
SW47,103.02875,-147.000896,0.0,top
SW48,122.07875,-147.000896,0.0,top
SW49,141.12875,-147.000896,0.0,top
SW5,150.65375,-85.088396,0.0,top
SW50,160.17875,-147.000896,0.0,top
SW51,179.22875,-147.000896,0.0,top
SW52,198.27875,-147.000896,0.0,top
SW53,217.32875,-147.000896,0.0,top
SW54,236.37875,-147.000896,0.0,top
SW55,255.42875,-147.000896,0.0,top
SW56,274.47875,-147.000896,0.0,top
SW57,293.52875,-147.000896,0.0,top
SW58,324.485,-147.000896,0.0,top
SW59,364.96625,-147.000896,0.0,top
SW6,174.46625,-85.088396,0.0,top
SW60,81.5975,-166.050896,0.0,top
SW61,112.55375,-166.050896,0.0,top
SW62,131.60375,-166.050896,0.0,top
SW63,150.65375,-166.050896,0.0,top
SW64,169.70375,-166.050896,0.0,top
SW65,188.75375,-166.050896,0.0,top
SW66,207.80375,-166.050896,0.0,top
SW67,226.85375,-166.050896,0.0,top
SW68,245.90375,-166.050896,0.0,top
SW69,264.95375,-166.050896,0.0,top
SW7,193.51625,-85.088396,0.0,top
SW70,284.00375,-166.050896,0.0,top
SW71,310.1975,-166.050896,0.0,top
SW72,341.15375,-170.813396,0.0,top
SW73,364.96625,-166.050896,0.0,top
SW74,72.0725,-185.100896,0.0,top
SW75,95.885,-185.100896,0.0,top
SW76,119.6975,-185.100896,0.0,top
SW77,191.135,-185.100896,0.0,top
SW78,260.19125,-185.100896,0.0,top
SW79,279.24125,-185.100896,0.0,top
SW8,212.56625,-85.088396,0.0,top
SW80,298.29125,-185.100896,0.0,top
SW81,322.10375,-189.863396,0.0,top
SW82,341.15375,-189.863396,0.0,top
SW83,360.20375,-189.863396,0.0,top
SW9,231.61625,-85.088396,0.0,top
U1,81.06625,-85.213396,270.0,bottom
